OTU,Kingdom,Phylum,Class,Order,Lineage,Clade
Otu3321,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu3322,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu3323,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unclassified,unclassified
Otu3324,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,heteroC45_4W
Otu3325,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu3326,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu3328,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu3329,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu3331,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,unclassified,unclassified
Otu3332,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu3333,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu3334,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A
Otu3335,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu3337,Bacteria,Planctomycetes,Phycisphaerae,unclassified,unclassified,unclassified
Otu3338,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu3340,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu3341,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,unclassified
Otu3342,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu3343,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu3344,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,unclassified
Otu3345,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu3346,Bacteria,Planctomycetes,Phycisphaerae,CPla-3,unclassified,unclassified
Otu3347,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu3348,Bacteria,Chloroflexi,Anaerolineae,GCA004,unclassified,unclassified
Otu3349,Bacteria,Armatimonadetes,SJA-176,GAB-B06,unclassified,unclassified
Otu3351,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira
Otu3352,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu3354,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu3355,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu3356,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Otu3358,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,unclassified,unclassified
Otu3359,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu3360,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu3361,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
