OTU,Day,Month,Year,value
Otu0044,5,7,2005,36
Otu0045,5,7,2005,20
Otu0052,5,7,2005,11
Otu0053,5,7,2005,27
Otu0055,5,7,2005,2
Otu0057,5,7,2005,2
Otu0059,5,7,2005,2
Otu0060,5,7,2005,28
Otu0069,5,7,2005,19
Otu0073,5,7,2005,3
Otu0074,5,7,2005,7
Otu0076,5,7,2005,129
Otu0081,5,7,2005,2
Otu0097,5,7,2005,385
Otu0105,5,7,2005,17
Otu0108,5,7,2005,25
Otu0109,5,7,2005,3
Otu0122,5,7,2005,25
Otu0130,5,7,2005,3
Otu0136,5,7,2005,15
Otu0143,5,7,2005,10
Otu0179,5,7,2005,8
Otu0180,5,7,2005,13
Otu0184,5,7,2005,222
Otu0189,5,7,2005,59
Otu0190,5,7,2005,2
Otu0197,5,7,2005,3
Otu0198,5,7,2005,3
Otu0209,5,7,2005,2
Otu0218,5,7,2005,32
Otu0230,5,7,2005,21
Otu0232,5,7,2005,4
Otu0233,5,7,2005,2
Otu0244,5,7,2005,5
Otu0251,5,7,2005,2
Otu0252,5,7,2005,2
Otu0282,5,7,2005,3
Otu0290,5,7,2005,5
Otu0297,5,7,2005,5
Otu0338,5,7,2005,14
Otu0394,5,7,2005,5
Otu0396,5,7,2005,12
Otu0407,5,7,2005,10
Otu0443,5,7,2005,33
Otu0472,5,7,2005,59
Otu0489,5,7,2005,3
Otu0498,5,7,2005,46
Otu0522,5,7,2005,9
Otu0535,5,7,2005,14
Otu0560,5,7,2005,5
Otu0595,5,7,2005,15
Otu0606,5,7,2005,27
Otu0678,5,7,2005,68
Otu0687,5,7,2005,7
Otu0726,5,7,2005,7
Otu0732,5,7,2005,3
Otu0813,5,7,2005,211
Otu0891,5,7,2005,42
Otu0897,5,7,2005,2
Otu1018,5,7,2005,10
Otu1031,5,7,2005,66
Otu1091,5,7,2005,2
Otu1107,5,7,2005,3
Otu1183,5,7,2005,4
Otu1194,5,7,2005,3
Otu1202,5,7,2005,2
Otu1206,5,7,2005,21
Otu1207,5,7,2005,3
Otu1211,5,7,2005,3
Otu1259,5,7,2005,2
Otu1264,5,7,2005,30
Otu1389,5,7,2005,2
Otu1415,5,7,2005,3
Otu1554,5,7,2005,2
Otu1590,5,7,2005,6
Otu1673,5,7,2005,35
Otu1680,5,7,2005,4
Otu1733,5,7,2005,4
Otu2024,5,7,2005,2
Otu2158,5,7,2005,2
Otu2569,5,7,2005,2
Otu2798,5,7,2005,2
Otu3028,5,7,2005,124
Otu3065,5,7,2005,2
Otu3305,5,7,2005,99
Otu3600,5,7,2005,2
Otu4203,5,7,2005,14
Otu4584,5,7,2005,19
Otu4853,5,7,2005,6
Otu5162,5,7,2005,20
Otu5264,5,7,2005,82
Otu5390,5,7,2005,2
Otu5490,5,7,2005,6
Otu5741,5,7,2005,2
Otu5851,5,7,2005,7
Otu5902,5,7,2005,2
Otu5941,5,7,2005,2
Otu0001,7,6,2005,3
Otu0002,7,6,2005,19
Otu0003,7,6,2005,8
Otu0015,7,6,2005,10
Otu0020,7,6,2005,3
Otu0029,7,6,2005,2
Otu0032,7,6,2005,15
Otu0042,7,6,2005,37
Otu0043,7,6,2005,15
Otu0044,7,6,2005,4
Otu0045,7,6,2005,8
Otu0053,7,6,2005,130
Otu0056,7,6,2005,27
Otu0058,7,6,2005,23
Otu0059,7,6,2005,3
Otu0060,7,6,2005,13
Otu0061,7,6,2005,2
Otu0069,7,6,2005,16
Otu0073,7,6,2005,38
Otu0074,7,6,2005,5
Otu0076,7,6,2005,75
Otu0080,7,6,2005,3
Otu0081,7,6,2005,6
Otu0085,7,6,2005,13
Otu0088,7,6,2005,2
Otu0093,7,6,2005,4
Otu0097,7,6,2005,297
Otu0099,7,6,2005,3
Otu0101,7,6,2005,2
Otu0105,7,6,2005,56
Otu0106,7,6,2005,6
Otu0108,7,6,2005,17
Otu0109,7,6,2005,25
Otu0110,7,6,2005,3
Otu0124,7,6,2005,2
Otu0130,7,6,2005,30
Otu0143,7,6,2005,84
Otu0147,7,6,2005,9
Otu0154,7,6,2005,2
Otu0167,7,6,2005,2
Otu0180,7,6,2005,5
Otu0184,7,6,2005,92
Otu0189,7,6,2005,77
Otu0190,7,6,2005,24
Otu0195,7,6,2005,2
Otu0197,7,6,2005,20
Otu0209,7,6,2005,26
Otu0212,7,6,2005,2
Otu0218,7,6,2005,3
Otu0223,7,6,2005,4
Otu0224,7,6,2005,5
Otu0228,7,6,2005,2
Otu0229,7,6,2005,3
Otu0233,7,6,2005,40
Otu0244,7,6,2005,57
Otu0252,7,6,2005,5
Otu0257,7,6,2005,16
Otu0265,7,6,2005,5
Otu0267,7,6,2005,5
Otu0272,7,6,2005,2
Otu0286,7,6,2005,2
Otu0288,7,6,2005,2
Otu0297,7,6,2005,20
Otu0311,7,6,2005,30
Otu0332,7,6,2005,3
Otu0333,7,6,2005,4
Otu0338,7,6,2005,72
Otu0345,7,6,2005,26
Otu0394,7,6,2005,11
Otu0407,7,6,2005,9
Otu0413,7,6,2005,7
Otu0416,7,6,2005,3
Otu0423,7,6,2005,2
Otu0433,7,6,2005,53
Otu0440,7,6,2005,4
Otu0443,7,6,2005,15
Otu0455,7,6,2005,2
Otu0466,7,6,2005,2
Otu0468,7,6,2005,5
Otu0472,7,6,2005,10
Otu0494,7,6,2005,16
Otu0522,7,6,2005,18
Otu0535,7,6,2005,52
Otu0538,7,6,2005,16
Otu0548,7,6,2005,42
Otu0552,7,6,2005,2
Otu0571,7,6,2005,2
Otu0576,7,6,2005,6
Otu0606,7,6,2005,11
Otu0634,7,6,2005,2
Otu0640,7,6,2005,7
Otu0678,7,6,2005,28
Otu0679,7,6,2005,3
Otu0687,7,6,2005,2
Otu0726,7,6,2005,4
Otu0773,7,6,2005,2
Otu0787,7,6,2005,2
Otu0793,7,6,2005,3
Otu0813,7,6,2005,8
Otu0841,7,6,2005,4
Otu0847,7,6,2005,2
Otu0862,7,6,2005,2
Otu0869,7,6,2005,3
Otu0884,7,6,2005,2
Otu0984,7,6,2005,4
Otu1031,7,6,2005,74
Otu1046,7,6,2005,3
Otu1064,7,6,2005,4
Otu1072,7,6,2005,3
Otu1091,7,6,2005,3
Otu1106,7,6,2005,3
Otu1107,7,6,2005,4
Otu1136,7,6,2005,4
Otu1167,7,6,2005,17
Otu1194,7,6,2005,10
Otu1207,7,6,2005,8
Otu1211,7,6,2005,37
Otu1213,7,6,2005,3
Otu1245,7,6,2005,3
Otu1259,7,6,2005,13
Otu1263,7,6,2005,4
Otu1314,7,6,2005,3
Otu1325,7,6,2005,2
Otu1359,7,6,2005,32
Otu1415,7,6,2005,5
Otu1437,7,6,2005,2
Otu1480,7,6,2005,4
Otu1590,7,6,2005,2
Otu1680,7,6,2005,24
Otu1724,7,6,2005,2
Otu1733,7,6,2005,2
Otu1748,7,6,2005,5
Otu2013,7,6,2005,5
Otu2139,7,6,2005,3
Otu2206,7,6,2005,2
Otu2303,7,6,2005,2
Otu2631,7,6,2005,2
Otu2798,7,6,2005,2
Otu2808,7,6,2005,5
Otu2861,7,6,2005,2
Otu3000,7,6,2005,3
Otu3028,7,6,2005,2
Otu3058,7,6,2005,2
Otu3085,7,6,2005,4
Otu3174,7,6,2005,3
Otu3305,7,6,2005,2
Otu3340,7,6,2005,2
Otu3352,7,6,2005,3
Otu3574,7,6,2005,3
Otu3901,7,6,2005,3
Otu3995,7,6,2005,3
Otu4203,7,6,2005,9
Otu4421,7,6,2005,2
Otu4464,7,6,2005,3
Otu4465,7,6,2005,2
Otu4479,7,6,2005,5
Otu4570,7,6,2005,3
Otu4605,7,6,2005,11
Otu4834,7,6,2005,4
Otu4890,7,6,2005,4
Otu4909,7,6,2005,5
Otu5109,7,6,2005,2
Otu5162,7,6,2005,23
Otu5292,7,6,2005,6
Otu5317,7,6,2005,3
Otu5409,7,6,2005,5
Otu5445,7,6,2005,3
Otu5566,7,6,2005,3
Otu5741,7,6,2005,4
Otu5783,7,6,2005,9
Otu5851,7,6,2005,31
Otu5910,7,6,2005,2
Otu6102,7,6,2005,17
Otu6166,7,6,2005,2
Otu0002,8,7,2005,5
Otu0003,8,7,2005,7
Otu0005,8,7,2005,95
Otu0006,8,7,2005,10
Otu0014,8,7,2005,3
Otu0015,8,7,2005,14
Otu0023,8,7,2005,3
Otu0027,8,7,2005,59
Otu0044,8,7,2005,11
Otu0045,8,7,2005,59
Otu0053,8,7,2005,74
Otu0057,8,7,2005,23
Otu0058,8,7,2005,6
Otu0060,8,7,2005,20
Otu0069,8,7,2005,5
Otu0072,8,7,2005,6
Otu0076,8,7,2005,54
Otu0097,8,7,2005,27
Otu0105,8,7,2005,10
Otu0109,8,7,2005,10
Otu0122,8,7,2005,38
Otu0143,8,7,2005,23
Otu0144,8,7,2005,8
Otu0155,8,7,2005,17
Otu0180,8,7,2005,24
Otu0184,8,7,2005,20
Otu0189,8,7,2005,42
Otu0198,8,7,2005,12
Otu0199,8,7,2005,18
Otu0209,8,7,2005,140
Otu0217,8,7,2005,9
Otu0218,8,7,2005,80
Otu0223,8,7,2005,3
Otu0228,8,7,2005,16
Otu0232,8,7,2005,9
Otu0267,8,7,2005,4
Otu0273,8,7,2005,40
Otu0290,8,7,2005,13
Otu0311,8,7,2005,9
Otu0326,8,7,2005,16
Otu0338,8,7,2005,22
Otu0339,8,7,2005,7
Otu0345,8,7,2005,15
Otu0347,8,7,2005,8
Otu0369,8,7,2005,2
Otu0394,8,7,2005,2
Otu0407,8,7,2005,65
Otu0418,8,7,2005,3
Otu0428,8,7,2005,32
Otu0431,8,7,2005,14
Otu0443,8,7,2005,67
Otu0472,8,7,2005,31
Otu0489,8,7,2005,18
Otu0498,8,7,2005,16
Otu0522,8,7,2005,12
Otu0535,8,7,2005,6
Otu0561,8,7,2005,2
Otu0576,8,7,2005,3
Otu0595,8,7,2005,65
Otu0596,8,7,2005,7
Otu0601,8,7,2005,3
Otu0606,8,7,2005,2
Otu0641,8,7,2005,5
Otu0650,8,7,2005,2
Otu0677,8,7,2005,7
Otu0678,8,7,2005,28
Otu0726,8,7,2005,5
Otu0727,8,7,2005,6
Otu0813,8,7,2005,31
Otu0827,8,7,2005,3
Otu0864,8,7,2005,2
Otu0891,8,7,2005,32
Otu1018,8,7,2005,20
Otu1031,8,7,2005,116
Otu1101,8,7,2005,5
Otu1102,8,7,2005,7
Otu1107,8,7,2005,3
Otu1137,8,7,2005,9
Otu1167,8,7,2005,2
Otu1180,8,7,2005,8
Otu1183,8,7,2005,4
Otu1202,8,7,2005,17
Otu1206,8,7,2005,12
Otu1208,8,7,2005,4
Otu1212,8,7,2005,2
Otu1229,8,7,2005,8
Otu1259,8,7,2005,10
Otu1264,8,7,2005,154
Otu1415,8,7,2005,11
Otu1438,8,7,2005,2
Otu1621,8,7,2005,3
Otu1673,8,7,2005,12
